 + 01h,0,0,0,0,0,0,0,47
 + 02h,0,0,0,0,0,0,0,44
 + 03h,0,0,0,0,0,0,0,43
 + 04h,0,0,0,0,0,0,0,45
 + 05h,0,0,0,0,0,0,0,37
 + 06h,0,0,0,0,0,0,0,26
 + 07h,0,0,0,0,0,0,0,35
 + 08h,0,0,0,0,0,0,0,50
 + 09h,0,0,0,0,0,0,0,76
 + 10h,0,0,0,0,0,0,0,101
 + 11h,0,0,0,0,0,0,0,112
 + 12h,0,0,0,0,0,0,0,110
 + 13h,0,0,0,0,0,0,0,110
 + 14h,0,0,0,0,0,0,0,109
 + 15h,0,0,0,0,0,0,0,109
 + 16h,0,0,0,0,0,0,0,108
 + 17h,0,0,0,0,0,0,0,106
 + 18h,0,0,0,0,0,0,0,99
 + 19h,0,0,0,0,0,0,0,93
 + 20h,0,0,0,0,0,0,0,aucun(e)
 + 21h,0,0,0,0,0,0,0,aucun(e)
 + 22h,0,0,0,0,0,0,0,aucun(e)
 + 23h,0,0,0,0,0,0,0,aucun(e)
 + 24h,0,0,0,0,0,0,0,aucun(e)
