 + 01h,0,0,0,0,0,0,0,45
 + 02h,0,0,0,0,0,0,0,42
 + 03h,0,0,0,0,0,0,0,41
 + 04h,0,0,0,0,0,0,0,39
 + 05h,0,0,0,0,0,0,0,35
 + 06h,0,0,0,0,0,0,0,34
 + 07h,0,0,0,0,0,0,0,48
 + 08h,0,0,0,0,0,0,0,64
 + 09h,0,0,0,0,0,0,0,79
 + 10h,0,0,0,0,0,0,0,95
 + 11h,0,0,0,0,0,0,0,103
 + 12h,0,0,0,0,0,0,0,105
 + 13h,0,0,0,0,0,0,0,107
 + 14h,0,0,0,0,0,0,0,110
 + 15h,0,0,0,0,0,0,0,110
 + 16h,0,0,0,0,0,0,0,111
 + 17h,0,0,0,0,0,0,0,109
 + 18h,0,0,0,0,0,0,0,104
 + 19h,0,0,0,0,0,0,0,95
 + 20h,0,0,0,0,0,0,0,83
 + 21h,0,0,0,0,0,0,0,70
 + 22h,0,0,0,0,0,0,0,56
 + 23h,0,0,0,0,0,0,0,55
 + 24h,0,0,0,0,0,0,0,48
