 + 01h,0,0,0,0,0,0,0,87
 + 02h,0,0,0,0,0,0,0,87
 + 03h,0,0,0,0,0,0,0,81
 + 04h,0,0,0,0,0,0,0,75
 + 05h,0,0,0,0,0,0,0,71
 + 06h,0,0,0,0,0,0,0,74
 + 07h,0,0,0,0,0,0,0,80
 + 08h,0,0,0,0,0,0,0,76
 + 09h,0,0,0,0,0,0,0,83
 + 10h,0,0,0,0,0,0,0,91
 + 11h,0,0,0,0,0,0,0,92
 + 12h,0,0,0,0,0,0,0,91
 + 13h,0,0,0,0,0,0,0,94
 + 14h,0,0,0,0,0,0,0,91
 + 15h,0,0,0,0,0,0,0,86
 + 16h,0,0,0,0,0,0,0,86
 + 17h,0,0,0,0,0,0,0,91
 + 18h,0,0,0,0,0,0,0,90
 + 19h,0,0,0,0,0,0,0,79
 + 20h,0,0,0,0,0,0,0,70
 + 21h,0,0,0,0,0,0,0,66
 + 22h,0,0,0,0,0,0,0,51
 + 23h,0,0,0,0,0,0,0,49
 + 24h,0,0,0,0,0,0,0,43
