 + 01h,0,0,0,0,0,0,0,35
 + 02h,0,0,0,0,0,0,0,34
 + 03h,0,0,0,0,0,0,0,35
 + 04h,0,0,0,0,0,0,0,33
 + 05h,0,0,0,0,0,0,0,25
 + 06h,0,0,0,0,0,0,0,29
 + 07h,0,0,0,0,0,0,0,31
 + 08h,0,0,0,0,0,0,0,48
 + 09h,0,0,0,0,0,0,0,66
 + 10h,0,0,0,0,0,0,0,87
 + 11h,0,0,0,0,0,0,0,95
 + 12h,0,0,0,0,0,0,0,98
 + 13h,0,0,0,0,0,0,0,98
 + 14h,0,0,0,0,0,0,0,96
 + 15h,0,0,0,0,0,0,0,96
 + 16h,0,0,0,0,0,0,0,98
 + 17h,0,0,0,0,0,0,0,90
 + 18h,0,0,0,0,0,0,0,84
 + 19h,0,0,0,0,0,0,0,83
 + 20h,0,0,0,0,0,0,0,87
 + 21h,0,0,0,0,0,0,0,87
 + 22h,0,0,0,0,0,0,0,87
 + 23h,0,0,0,0,0,0,0,86
 + 24h,0,0,0,0,0,0,0,82
