 + 01h,0,0,0,0,0,0,0,103
 + 02h,0,0,0,0,0,0,0,97
 + 03h,0,0,0,0,0,0,0,96
 + 04h,0,0,0,0,0,0,0,92
 + 05h,0,0,0,0,0,0,0,89
 + 06h,0,0,0,0,0,0,0,89
 + 07h,0,0,0,0,0,0,0,80
 + 08h,0,0,0,0,0,0,0,92
 + 09h,0,0,0,0,0,0,0,113
 + 10h,0,0,0,0,0,0,0,118
 + 11h,0,0,0,0,0,0,0,121
 + 12h,0,0,0,0,0,0,0,121
 + 13h,0,0,0,0,0,0,0,121
 + 14h,0,0,0,0,0,0,0,122
 + 15h,0,0,0,0,0,0,0,121
 + 16h,0,0,0,0,0,0,0,119
 + 17h,0,0,0,0,0,0,0,115
 + 18h,0,0,0,0,0,0,0,109
 + 19h,0,0,0,0,0,0,0,95
 + 20h,0,0,0,0,0,0,0,88
 + 21h,0,0,0,0,0,0,0,87
 + 22h,0,0,0,0,0,0,0,82
 + 23h,0,0,0,0,0,0,0,56
 + 24h,0,0,0,0,0,0,0,52
