 + 01h,0,0,0,0,0,0,0,79
 + 02h,0,0,0,0,0,0,0,75
 + 03h,0,0,0,0,0,0,0,75
 + 04h,0,0,0,0,0,0,0,76
 + 05h,0,0,0,0,0,0,0,74
 + 06h,0,0,0,0,0,0,0,70
 + 07h,0,0,0,0,0,0,0,68
 + 08h,0,0,0,0,0,0,0,68
 + 09h,0,0,0,0,0,0,0,72
 + 10h,0,0,0,0,0,0,0,70
 + 11h,0,0,0,0,0,0,0,aucun(e)
 + 12h,0,0,0,0,0,0,0,aucun(e)
 + 13h,0,0,0,0,0,0,0,aucun(e)
 + 14h,0,0,0,0,0,0,0,aucun(e)
 + 15h,0,0,0,0,0,0,0,aucun(e)
 + 16h,0,0,0,0,0,0,0,aucun(e)
 + 17h,0,0,0,0,0,0,0,aucun(e)
 + 18h,0,0,0,0,0,0,0,aucun(e)
 + 19h,0,0,0,0,0,0,0,aucun(e)
 + 20h,0,0,0,0,0,0,0,aucun(e)
 + 21h,0,0,0,0,0,0,0,aucun(e)
 + 22h,0,0,0,0,0,0,0,aucun(e)
 + 23h,0,0,0,0,0,0,0,aucun(e)
 + 24h,0,0,0,0,0,0,0,aucun(e)
